requirement_id,test,line
R001,tests/test_l1_data_quality_gate.py::test_l1_observation_gate_accepts_numeric_metric_with_iso_datetimes,26
R001,tests/test_l1_data_quality_gate.py::test_l1_observation_gate_rejects_polymorphic_value_and_extra_fields,34
R002,tests/test_adversarial_auditor.py::test_adversarial_sandbox_campaign_has_zero_bypasses,6
R002,tests/test_invariants.py::test_inv_critical_invalid_zeroes_confidence_and_blocks_execution,76
R002,tests/test_invariants.py::test_inv_fail_closed_on_corrupted_math,42
R002,tests/test_l1_data_quality_gate.py::test_l1_inference_gate_rejects_coercion_and_engine_fails_closed,55
R002,tests/test_l1_data_quality_gate.py::test_l1_inference_gate_rejects_unknown_domain_and_extra_fields,74
R002,tests/test_observability_incidents.py::test_invalid_output_incident_uses_critical_response_ladder,76
R002,tests/test_operational_kernel.py::test_operational_envelope_verifier_fails_closed_on_malformed_payload,130
R002,tests/test_operational_kernel.py::test_operational_kernel_preserves_fail_closed_invalid_behavior,76
R002,tests/test_operational_kernel.py::test_operational_kernel_rejects_boundary_request_extra_fields,87
R002,tests/test_runtime_boundary.py::test_runtime_boundary_request_rejects_extra_fields,47
R003,tests/test_audit_replay.py::test_audit_event_is_deterministic_jsonl,36
R003,tests/test_audit_replay.py::test_inference_output_contains_hash_material_for_replay,27
R003,tests/test_audit_replay.py::test_replay_bundle_detects_input_tampering,65
R003,tests/test_audit_replay.py::test_replay_bundle_reconstructs_expected_run_hash,53
R003,tests/test_deterministic_engine.py::test_golden_risk_vectors,21
R003,tests/test_deterministic_engine.py::test_run_hash_is_stable_for_same_input_rules_and_engine,54
R003,tests/test_invariants.py::test_inv_deterministic_hash_stability,67
R003,tests/test_operational_kernel.py::test_operational_envelope_is_deterministic_and_replay_verified,42
R003,tests/test_operational_kernel.py::test_operational_envelope_verifier_accepts_fresh_envelope,99
R003,tests/test_operational_kernel.py::test_operational_envelope_verifier_rejects_hash_tampering,109
R003,tests/test_operational_kernel.py::test_operational_envelope_verifier_rejects_manifest_tampering,118
R003,tests/test_runtime_boundary.py::test_engine_can_be_built_from_loaded_rules_without_rule_file_io,57
R003,tests/test_runtime_boundary.py::test_runtime_boundary_batch_is_deterministic,32
R003,tests/test_runtime_boundary.py::test_runtime_boundary_uses_explicit_timestamp_and_profiles,18
R003,tests/test_traceability.py::test_generated_traceability_matrix_matches_annotated_tests,6
R004,tests/test_deterministic_engine.py::test_missing_domain_is_explicit_degradation,36
R004,tests/test_invariants.py::test_inv_yaml_invariants_are_executable_bound,93
R004,tests/test_observability_incidents.py::test_green_output_does_not_open_incident,98
R004,tests/test_observability_incidents.py::test_metrics_snapshot_counts_states_degradations_and_actions,25
R004,tests/test_operational_kernel.py::test_operational_envelope_contains_metrics_audit_and_incidents,58
R005,tests/test_deterministic_engine.py::test_high_risk_and_invalid_states_require_human_review,42
R005,tests/test_observability_incidents.py::test_incident_record_maps_red_to_critical_and_blocks_autonomous_execution,56
