DEL,Description,Definition_of_Done,Dependencies,Assumptions,Acceptance_Criteria,Output_Artifacts,Source,WBS_References,TestReferences
DEL-001,"Формування команди, аудит поточних процесів",Steering committee charter ratified and baseline audit report approved by Chief AI Officer and Head of Compliance.,,Executive sponsors allocate decision rights and auditors have access to current workflows.,Charter signed; audit findings documented with remediation backlog seeded.,Team roster; audit findings deck; remediation backlog,14:138,WBS-1.1.1;WBS-1.1.2,tests/organization/governance.md;tests/compliance/audit_checklist.md
DEL-002,Створити основний посібник «RLHF Annotation Guide» з версіонуванням у репозиторії (`docs/annotation/guide_v{major}.{minor}.md`). Інструкції повинні бути двомовними (українська + англійська) та регулярно переглядатися командою безпеки.,Versioned guide published in docs/annotation with bilingual content and security review sign-off.,DEL-001,Subject-matter experts and translators are available during the sprint.,Guide passes compliance review and readability QA in both languages.,docs/annotation/guide_v1.0.md; review sign-off log,2.1:12;2.1:19,WBS-1.2.1;WBS-1.2.2,tests/docs/annotation_guide_spellcheck.py;tests/docs/bilingual_consistency.py
DEL-003,Запровадити шаблони у вигляді Jinja2 для інтерфейсу анотації та YAML-схеми для валідації (`schemas/annotation_v1.yaml`).,Templates merged into annotation UI repo and schema validates sample payloads in CI.,DEL-002,Annotation platform supports Jinja2 templating and schema validation tooling.,CI run shows schema validation success on reference dataset.,templates/annotation/*.j2; schemas/annotation_v1.yaml,2.2:41,WBS-1.2.3,tests/annotation/schema_validation_test.py
DEL-004,**Вимірювання узгодженості**: щотижневий розрахунок Cohen’s Kappa та Krippendorff’s Alpha; поріг прийнятності ≥0.75.,Automated jobs compute agreement metrics weekly and alert when thresholds fall below 0.75.,DEL-002,Annotator IDs and scoring data streams are complete and timestamped.,Dashboard displays Kappa and Alpha ≥0.75 or triggers incident when breached.,metrics/agreement_weekly.csv; QA dashboard screenshots,2.3:45,WBS-1.2.4,tests/annotation/quality_metrics_pipeline.py
DEL-005,"**Рівень 0 – Автоматичний фільтр**: регулярні вирази, NLP-класифікатори та перевірки формату. «Рівень 1 – Молодший анотаційний шар»: оцінка базової якості та комплаєнсу. «Рівень 2 – Старший експерт»: фокус на ризики, економічну логіку, довготермінові наслідки. «Рівень 3 – Комітет»: колективне рішення для спірних випадків і оновлення політик. «RLAIF-рівень»: спеціалізовані мовні моделі, що дають попередні оцінки/рекомендації; вони проходять валідацію проти людських еталонів.",Evaluator services deployed for all tiers with routing rules and validation logs aligning AI outputs with human benchmarks.,DEL-004,Access to training data and reviewer availability for higher tiers.,Routing accuracy ≥95% and audit trail for escalations is complete.,evaluator_service/config.json; validation reports,3:50-54,WBS-1.3.1,tests/evaluators/multi_level_pipeline.py
DEL-006,"**Механізм відбору**: використання невизначеності політики (entropy sampling), diversity sampling (k-means на ембедінгах) та бізнес-приорів (події високої волатильності). Модель генерує відповіді на останні ринкові сценарії. Модуль відбору оцінює невизначеність/цінність даних. Вибрані приклади направляються анотаторам або RLAIF-агенту. Нові анотації інтегруються у буфер повторного навчання. **Моніторинг**: відстеження coverage метрик та ефективності (зменшення regret, підвищення Sharpe Ratio на симуляторах).",Active learning pipeline moves prioritized samples end-to-end with monitoring dashboard tracking coverage and Sharpe uplift.,DEL-005,Access to streaming market data and feature store embeddings is stable.,Sampling jobs run on schedule and monitoring shows positive regret reduction trend.,pipelines/active_learning.yaml; monitoring dashboards,4:57-63,WBS-1.3.2,tests/data/active_sampling_test.py
DEL-007,Впровадити стадію «self-reflection» після кожної відповіді моделі: спеціальна модель або ланцюжок запитів генерує критику та план виправлення.,Self-reflection prompts executed post-response with critiques persisted in knowledge graph and tracked for remediation.,DEL-006,Knowledge graph storage is provisioned and secured.,Critique coverage ≥90% of model outputs in pilot evaluation.,self_reflection/pipeline.json; knowledge_graph/records.parquet,5:66,WBS-1.3.3,tests/self_reflection/log_consistency_test.py
DEL-008,R = w_1 \cdot S_{accuracy} + w_2 \cdot S_{risk} + w_3 \cdot S_{communication} - P_{violations} - P_{uncertainty},Reward function implementation merged with parameter management and penalty controls.,DEL-007,Reward telemetry is available from evaluation loop for calibration.,Unit tests confirm reward outputs match specification across scenarios.,reward/model.py; calibration notebook,6:72-74,WBS-1.3.4,tests/reward/reward_function_regression.py
DEL-009,Формалізувати правила у вигляді машинно-зчитуваних політик (`configs/policies/*.yaml`).,"Policy repository populated, referenced in training pipeline, and enforced by constrained RL checks.",DEL-008,Policy authors supply latest compliance constraints.,Constrained RL run passes VaR/ES guardrails without violations.,configs/policies/*.yaml; policy enforcement logs,7:82,WBS-1.3.5,tests/safety/policy_constraints_test.py
DEL-010,"Поведінкові моделі з історичних логів (RL-агенти, MARL). Скрипти сценаріїв для рідкісних подій (кризові новини, black swan). Параметризовані симулятори ринку (підсистема `backtest/` та `markets/`).","Simulators released covering behavioural agents, rare-event scripts, and market backtest adapters.",DEL-006,Historical logs and market data connectors are accessible for simulator calibration.,Simulator scenarios generate reproducible seeds and align with reference metrics.,simulators/behavioural_agents/; backtest/scenario_scripts/,8:91,WBS-1.3.6,tests/simulators/user_simulator_consistency.py
